aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.03,19.06,0.07,0.62,0.07,0.16,0.04,0.02,1.43,0,0.68,0.089,4.43,0.88,0.004,0.43,1.51,0.03,0.03,0.04,0
0.07,20.45,0.02,1.8,0.03,0.34,0.09,0.04,0.51,0,0.57,0.176,3.88,0.92,0.001,2.95,0.26,0.02,0.07,0.05,0
0.04,4.68,0.07,0.13,0.02,0.1,0.05,0.07,0.25,0,0.74,0.169,6.98,0.66,0.001,8.31,1.01,0.06,0.06,0.02,0
0.08,2.04,0.04,0.29,0.08,0.04,0.02,0.01,0.93,0,0.82,0.175,17.17,0.86,0.003,10.77,3.33,0.01,0.09,0.02,0
0.09,15.59,0.07,0.39,0.09,0.07,0.1,0.04,0.93,0,0.83,0.166,8.14,0.58,0.007,2.06,0.34,0.08,0.02,0.02,0
0.05,23.71,0.06,1.79,0.06,0.29,0.04,0.05,0.45,0,0.009,0.128,4.08,0.74,0.002,4.59,0.96,0.01,0.01,0.07,0
0.08,28.71,0.01,2.08,0.01,0.12,0.07,0.06,1.18,0,0.81,0.075,0.44,0.97,0.005,2.13,1.51,0.08,0.09,0.01,0
0.09,11.68,0.06,0.84,0.03,0.13,0.05,0.06,1.23,0,0.008,0.196,9.6,0.86,0.008,2.56,4.42,0.03,0.02,0.07,0
0.06,6.32,0.08,0.06,0.04,0.09,0.01,0.03,0.26,0,0.61,0.142,2.11,0.17,0.006,0.11,0.67,0,0.02,0,0
0.06,5.74,0.08,0.31,0.03,0.44,0.1,0.08,0.9,0,0.007,0.037,3.67,0.83,0.001,1.19,0.45,0.09,0.08,0.05,1
0.05,17.33,0.02,0.48,0.08,0.06,0.07,0.04,0.05,0,0.009,0.111,15.01,0.48,0.006,4.15,2.51,0.05,0.08,0.03,0
0.01,16.19,0.1,0.93,0.09,0.35,0.02,0.01,0.12,0,0.87,0.143,13.48,0.47,0.009,2.66,1.35,0.07,0.06,0.02,0
0.05,17.1,0.04,1,0.06,0.09,0.09,0.04,1.25,0,0.003,0.014,16.44,0.94,0.01,0.31,0,0.07,0.1,0.02,0
0.05,13.96,0.08,0.53,0.07,0.08,0.04,0.09,0.47,0,0.74,0.175,12.61,0.22,0.005,0.66,2.32,0.07,0.06,0.07,0
0.1,6.04,0.09,0.46,0.05,0.09,0.02,0.02,0.78,0,0.8,0.092,0.62,0.45,0.01,6.51,0.87,0,0.01,0.03,0
0.1,22.55,0.07,0.7,0.04,0.01,0.07,0.02,0.57,0,0.6,0.146,0.14,0.6,0.01,1.3,4.85,0.07,0.04,0.03,0
0.02,0.88,0,1.84,0.03,0.07,0.07,0.05,0.48,0,0.002,0.174,15.72,0.29,0.01,2,0.81,0.05,0.01,0.07,0
0.06,25.82,0.02,0.97,0.05,0.08,0.02,0.07,0.92,0,0.7,0.018,0.35,0.4,0.008,0.23,0.05,0.03,0.06,0.01,0
0.01,10.02,0.01,0.41,0.02,0.04,0.09,0.02,1.23,0,0.96,0.142,0.92,0.78,0.002,8.06,3.49,0.02,0.03,0.04,0
0.03,16.56,0.06,0.49,0.09,0.04,0.03,0.02,0.86,0,0.002,0.113,0.23,0.21,0.01,2.62,0.98,0.08,0.05,0.03,1
0.08,18.47,0.07,0.1,0.01,0.07,0.03,0.1,0.47,0.04,0.007,0.176,18.79,0.05,0.008,3.3,3.34,0.06,0.07,0.02,0
0.08,15.09,0.04,0.44,0.01,0.05,0.03,0.1,0.45,0,0.008,0.197,15.13,0.3,0.001,0.31,2.67,0.05,0.1,0.06,0
0.05,22.43,0.01,2.64,0.05,0.47,0.08,0.06,0.67,0,0.68,0.105,5,0.55,0.003,6.94,2.76,0.04,0.03,0.01,0
0.08,21.95,0.05,0.36,0.09,0.48,0.1,0.05,1,0,0.75,0.119,8.99,0.27,0.009,7.39,0.22,0.09,0.09,0.02,0
0.02,22.11,0.03,0.5,0.03,0.46,0.08,0.04,1.06,0.07,0.001,0.147,7.5,0.64,0.002,4.65,4.81,0.03,0.01,0.07,0
0.07,27.51,0.02,0.23,0.09,0.02,0.07,0.02,0.66,0,0.68,0.182,2.19,0.81,0.009,1.67,2.23,0.01,0.06,0.07,0
0.03,15.7,0.09,0.33,0.07,0.08,0.08,0.08,1.39,0,0,0.118,5.46,0.83,0.001,0.4,0.14,0.04,0,0.07,0
0.08,18.17,0.06,0.21,0.05,0.17,0.07,0.06,0.95,0,0.61,0.16,11.75,0.15,0.002,4.42,0.27,0.05,0.01,0.04,0
0.01,24.28,0.08,0.14,0.03,0.13,0.01,0.01,1.19,0.09,0.005,0.032,15.36,1,0.005,0.37,1.54,0.09,0.05,0.06,0
0.07,1.46,0.03,1.01,0.06,0.1,0.08,0,1.37,0,0.93,0.161,2.65,0.56,0.009,1.57,0.46,0.04,0.1,0.01,0
0.01,28.14,0.02,0.56,0.05,0.27,0,0.1,0.91,0,0.008,0.05,9.65,0.39,0.005,2.39,4.78,0.09,0.03,0.01,0
0.08,24.06,0.09,0.89,0.08,0.09,0.08,0.04,1.04,0,0.76,0.043,2.65,0.42,0.002,7.86,2,0.08,0.05,0,0
0.05,0.37,0.1,0.07,0.03,0.45,0.01,0.03,1.05,0,0.003,0.076,11.5,0.6,0.01,0.77,2.72,0.07,0.09,0.05,0
0.05,9.68,0.1,0.26,0.08,0.17,0.07,0.03,0.95,0,0.006,0.072,2.98,0.86,0.002,1.51,3.81,0.02,0.05,0.02,1
0.06,20.42,0.03,0.65,0.08,0.01,0.01,0.07,1.09,0,0.005,0.084,5.88,0.5,0.001,6.28,0.71,0.06,0.01,0.01,1
0.07,8.8,0.03,2.02,0.07,0.08,0.08,0.06,0.39,0,0.006,0.037,17.2,0.9,0.005,5.13,0.27,0.02,0.07,0.06,0
0.03,13.24,0.07,2.46,0.07,0.05,0.02,0.08,0.28,0,0.005,0.097,7.35,0.06,0.004,3.21,3.54,0.03,0,0.08,0
0.09,24.34,0,0.71,0.09,0.02,0.05,0.03,0.2,0,0.007,0.035,5.63,0.29,0.005,2.35,0.06,0.09,0.05,0.01,1
0.09,3.37,0.02,1.75,0.05,0.44,0.05,0.07,0.57,0,0.64,0.154,16.29,0.2,0.002,0.03,0.66,0.04,0.04,0,0
0.06,27.64,0,1.41,0,0.29,0.03,0.02,1.36,0,0.72,0.161,12.25,0.53,0.008,1.68,0.49,0.06,0.08,0.04,0
0,17.02,0,0.57,0.03,0.32,0.06,0.08,0.54,0,0.005,0.147,8.51,0.68,0,4.61,0.08,0,0.03,0,1
0.06,1.67,0.08,0.76,0.06,0.06,0.03,0.09,0.54,0,0.005,0.019,15.41,0.78,0.007,0.45,0.31,0.09,0.03,0.03,0
0.07,19.77,0.05,1.95,0.06,0.19,0.05,0.04,0.06,0,0.54,0.081,2.72,0.34,0.007,4.62,6.13,0.05,0.04,0.06,0
0.07,20.17,0.08,0.73,0.07,0.09,0.04,0.1,1.22,0,0.52,0.176,3.77,0.77,0.006,0.08,0.78,0.01,0.04,0.08,0
0.01,0.42,0.03,0.9,0.07,0.02,0.01,0.06,0.72,0,0.57,0.088,9.41,0.88,0.009,7.54,3.24,0.03,0.06,0.02,0
0.04,16.9,0.05,1.74,0.09,0.5,0.01,0.08,0.3,0,0.76,0.022,6.92,0.8,0.009,2.03,2.36,0.09,0,0.06,0
0.06,7.78,0,0.16,0.01,0.29,0.05,0.02,0.07,0,0,0.015,14.66,0.12,0.004,0.45,0.91,0.03,0.01,0.04,0
0.03,2.15,0.09,0.43,0.09,0.01,0.06,0.01,0.04,0,0.84,0.11,11.04,0.73,0.002,8.69,0.16,0.09,0.05,0.06,0
0.05,16.69,0.05,1.23,0.04,0.04,0.02,0.07,0.76,0,0.003,0.109,17.16,0.41,0.01,2.73,1.06,0.09,0.02,0.03,0
0.01,22.46,0.03,1.2,0.09,0.21,0.01,0.06,0.61,0,0.78,0.146,16.5,0.93,0.003,0.31,0.99,0.05,0.09,0.06,0
0.03,4.45,0.01,0.78,0.05,0.49,0.05,0.03,0.86,0.1,0.005,0.191,18.68,1,0.007,0.52,2.46,0,0.09,0.02,0
0.06,26.69,0.1,0.23,0.04,0.21,0.06,0.09,1.13,0,0.81,0.017,1.55,0.14,0.008,3.07,0.89,0.03,0.03,0.05,0
0.03,1.78,0.06,0.78,0.02,0.32,0.09,0.03,0.78,0,0.005,0.053,0.48,0.82,0.006,0.03,0.75,0.01,0.1,0.05,0
0.07,20.43,0.07,0.26,0.05,0.04,0.01,0.03,0.02,0,0.007,0.194,11.49,0.54,0.008,0.71,0.73,0.06,0.09,0.02,0
0.07,1.97,0.01,0.76,0.01,0.01,0.08,0.05,0.73,0,0.9,0.024,9.49,0.13,0.007,7.59,0.81,0.03,0.01,0.08,0
0.07,4.28,0.02,0.29,0.1,0.46,0.01,0.06,1.31,0,0.009,0.068,13.52,0.45,0,1.43,1.84,0.08,0.06,0.03,0
0.03,8.11,0.04,0.19,0.04,0.14,0.03,0.03,1.47,0,0.97,0.166,12.39,0.88,0.005,5.4,1.47,0.05,0.04,0.01,0
0.05,22.22,0.1,1.07,0.07,0.01,0.1,0.1,0.04,0,0.007,0.046,11.37,0.95,0.007,1.52,0.09,0.1,0.01,0.07,0
0.06,8.71,0.03,0.72,0.08,0.06,0.05,0.1,0.71,0,0.66,0.014,7.64,0.92,0.006,6.6,4.99,0.01,0.04,0.02,0
0.03,10.53,0.06,1.79,0.01,0.08,0.01,0.07,1.06,0,0.69,0.011,8.32,0.29,0.007,1.85,0.64,0.02,0.1,0.08,0
0.09,10.07,0.01,2.4,0.01,0.13,0.09,0.09,1.13,0,0.5,0.03,8.25,0.99,0.006,1.33,1.76,0.09,0,0.03,0
0.08,23.71,0.05,0.4,0.02,0.3,0,0.06,0.63,0,0.59,0.146,2.27,0.78,0.008,0.13,0.31,0.07,0.01,0.07,0
0.07,24.83,0.02,1.76,0.06,0.16,0,0.01,0.36,0,0.007,0.114,7.65,0.52,0.001,10.15,3.16,0.02,0.06,0,0
0.03,13.58,0.02,1.22,0.08,0.04,0.05,0.09,1.41,0,0.004,0.05,7.85,0.27,0.003,0.22,0.19,0.03,0.09,0.04,1
0.04,5.95,0.02,0.9,0.08,0.06,0.04,0.02,0.43,0,0.98,0.187,8.88,0.55,0.001,1.26,0.11,0.06,0.03,0.07,0
0.04,21.7,0.08,0.16,0.04,0.12,0.06,0.09,0.03,0,0.001,0.067,5.56,0.95,0.001,1.18,0.85,0.03,0.03,0,0
0.07,9.62,0.03,1.59,0.04,0.26,0.05,0.01,1.02,0,0.002,0.071,17.71,0.9,0.003,4.38,0.19,0.04,0.05,0.02,0
0.05,27.69,0.08,2.96,0.02,0.02,0.05,0.07,1.39,0,0.89,0.005,8.17,0.32,0.005,0.41,0.91,0.08,0.09,0,0
